key;value
200.name;Ogre batailleur
200.text;{taunt}
201.name;Marchandeur déloyal
201.text;{gift} - Une carte aléatoire de votre main coûte {faeria|7} de moins.
202.name;Seifer, Tyran Sanguinaire
202.text;Lorsque Seifer détruit une créature, il gagne une attaque et des PV équivalents à l'attaque et aux PV d'origine de la créature détruite.
203.name;Ogre barbare
203.text;
204.name;Krog, Roi des Ogres
204.text;{combat} - Une carte aléatoire de votre main coûte {faeria|7} de moins.
205.name;Affûteur de haches
205.text;{gift} - Gagne +1/+1 si invoqué sur une case adjacente à un puits adverse.
206.name;Lanceur de rochers
206.text;{ranged_attack}\nLorsque cette créature attaque, elle inflige aussi des dégâts aux ennemis adjacents à la cible.
211.name;Brute Shedime
211.text;{combat} - Inflige 2 points de dégâts à votre adversaire.
212.name;Chante-sang
212.text;Inflige 1 point de dégâts à votre adversaire chaque fois qu'une créature ennemie meurt.
213.name;Sbire de Seifer
213.text;{last_words} - Inflige 2 points de dégâts à votre adversaire.
214.name;Cracheur de flammes
214.text;{gift} - Inflige 1 point de dégâts à un ennemi.
215.name;Seigneur de la Terreur
215.text;À chaque fois que votre adversaire reçoit des dommages, gagne autant en Attaque.
216.name;Harceleur Shedime
216.text;{gift} - Gagne +2/+0 si vous contrôlez une autre créature avec plus de points d'attaque que de vie.
217.name;Obélisque de sang
217.text;Chaque fois qu'une créature ennemie meurt au combat, infligez 1 point de dégâts à votre adversaire et gagnez {faeria|1}.
218.name;Garde funeste
218.text;{taunt}\n{combat} - Inflige 2 points de dégâts à votre adversaire.
223.name;Lance-bombes
223.text;{gift} - Inflige 4 points de dégâts à une créature ou structure ennemie adjacente.
224.name;Cannonier
224.text;{gift} - Donne {ranged_attack} à une créature alliée.
225.name;Explosion de flammes
225.text;Inflige 3 points de dégâts.
226.name;Lance-flammes
226.text;{ranged_attack}\nChaque fois que cette créature attaque une divinité, infligez 1 point de dégâts à toutes les créatures ennemies.
231.name;Colosse volcanique
231.text;{ranged_attack}\nCoûte {faeria|1} de moins pour chaque créature ennemie morte au combat (coût minimum : {faeria|7}).
232.name;Garudan, Cœur de la Montagne
232.text;{flying}, {charge|2}\n{gift} - Inflige 3 points de dégâts à toutes les créatures ennemies.
233.name;Élémentaire de feu
233.text;{gift} - Crée une montagne.
234.name;Fée de Flammesoie
234.text;{flying}\nLa première fois que vous piochez un événement, gagne +3/+1 et {ranged_attack}.
235.name;Tour délabrée
235.text;{activate} - Inflige 1 point de dégâts. Inflige 1 point de dégâts à cette structure.
236.name;Follet Feu-de-Sang
236.text;Gagne +2/+1 chaque fois qu'une créature ennemie meurt.
237.name;Trembleterre
237.text;{gift} - Inflige 1 point de dégâts à TOUS les ennemis.
238.name;Sèmefeu
238.text;Tant que cette carte est dans votre deck ou votre main, elle gagne +1/+1 chaque fois que vous invoquez une créature avec plus d'attaque que de PV.
239.name;Salamandre ardente
239.text;{gift} - Inflige 2 points de dégâts à toutes les créatures ennemies adjacentes.
240.name;Esprit Pierre-de-Sang
240.text;Chaque fois que vous récoltez depuis un puits adverse, inflige 1 point de dégâts à votre adversaire.
241.name;Courroux de Seifer
241.text;Inflige 2 points de dégâts à une créature. Si elle meurt, inflige 2 points de dégâts à son contrôleur.
242.name;Plante vorace
242.text;{taunt}\n{production} - Inflige 2 points de dégâts aux créatures ennemies adjacentes.
243.name;Bombe incendiaire
243.text;Inflige 4 points de dégâts à une créature ou à une structure.
244.name;Tempête de feu
244.text;Inflige 3 points de dégâts à toutes les créatures ennemies.
245.name;Combattant enragé
245.text;Chaque fois que cette créature subit des dégâts, elle inflige à votre adversaire un nombre de dégâts équivalent.
246.name;Golem croulant
246.text;Chaque fois que votre adversaire invoque une créature, le golem subit 1 point de dégâts.
247.name;Bal des Ogres
247.text;Une carte aléatoire de votre main coûte {faeria|7} de moins.
248.name;Météore
248.text;Choisissez une case. Détruisez toutes les créatures, structures et territoires sur cette case et sur les cases adjacentes.
249.name;Diable rouge
249.text;{gift} - Gagnez {faeria|5}.
250.name;Ignus, la Flamme Originelle
250.text;Quand vous sélectionnez +{faeria|1} dans la roue des pouvoirs, inflige 4 points de dégâts répartis aléatoirement entre les ennemis.
251.name;Moine Oradrim
251.text;{haste}\nChaque fois que cette créature attaque une divinité, piochez une carte.
252.name;Prière de Khalim
252.text;Gagnez {faeria|2} et piochez une carte. Ne jouez cette Prière que si vous avez attaqué une divinité ce tour, et une fois par tour.
253.name;Fidèle de Khalim
253.text;{haste}\nGagne +2/+0 contre les divinités.
254.name;Templier Oradrim
254.text;{dash|1}\nGagne +3/+0 contre les divinités.
255.name;Sagittaire Oradrim
255.text;{ranged_attack}\nGagnez {faeria|1} chaque fois que vous attaquez une divinité.
256.name;Fanatique Oradrim
256.text;{jump}\n{gift} - Déplace une créature sous votre contrôle.
257.name;Tornade du désert
257.text;Téléporte une créature vers un désert que vous contrôlez.
258.name;Porte du vent
258.text;Vous pouvez invoquer des créatures sur les cases adjacentes à cette structure.\n{activate} - Déplace la Porte du vent.
259.name;Esprit malfaisant
259.text;{gift} - Vous drainez 2 PV à votre adversaire.
260.name;Khalim, Prodige Céleste
260.text;{flying}, {charge|2}\nLorsque Khalim attaque une divinité, ajoutez un <b>Fidèle de Khalim</b> à votre main. Il coûte {faeria|0}.
261.name;Ombre du carnage
261.text;
262.name;Goule morbide
262.text;{last_words} - Gagnez {faeria|2}.
263.name;Dernier cauchemar
263.text;Détruit une créature.
264.name;Pacte d'âmes
264.text;Gagnez {faeria|2} et infligez-vous 2 points de dégâts.
265.name;Autel des âmes
265.text;{activate} - Vous inflige 2 points de dégâts et ajoute une <b>Ombre Massacrante</b> 6/1 à votre main. Elle coûte {faeria|2}.
266.name;Démon Shaytan
266.text;{production} - Vous inflige 2 points de dégâts.
267.name;Garde céleste de Khalim
267.text;{flying}\nPeut être invoqué sur une case adjacente à une créature alliée.
268.name;Entrainement de Khalim
268.text;Donne +1/+0, {flying} et {charge|2} à une créature.
273.name;Soldat du vent
273.text;{haste}, {charge|3}\nLe soldat du vent meurt à la fin du tour.
274.name;Drakkar céleste
274.text;{flying}\nChaque fois que vous piochez une créature volante, celle-ci gagne +1/+1.
275.name;Émissaire éolien
275.text;{flying}.\nA +2/+0 tant que vous contrôlez une autre créature volante.
276.name;Charognard Shaytan
276.text;Coûte {faeria|2} de moins si vous attaquez une divinité à ce tour.
277.name;Drakon des dunes
277.text;{flying}, {charge|2}\nNe peut pas récolter de faeria.
278.name;Champion éolien
278.text;{flying}, {charge|5}\n{gift} - Déplace une créature.
287.name;Colosse tempétueux
287.text;{dash|3}\nCoûte {faeria|1} de moins pour chaque événement que vous avez joué (coût minimum : {faeria|5}).
288.name;Azaraï, Courroux du Désert
288.text;{flying}, {charge|2}\n{gift} - Azaraï draine 2 points d'attaque à chaque créature ennemie.
289.name;Élémentaire des airs
289.text;{flying}\n{gift} - Crée un désert.
290.name;Fée d'Héliosoie
290.text;{flying}\nGagne +3/+1 et {charge|3} la première fois que vous piochez un événement.
291.name;Tour céleste
291.text;{activate} - Donne {charge|3} à une créature jusqu'à la fin du tour. Inflige 1 point de dégâts à cette structure.
292.name;Follet du vent
292.text;{flying}, {charge|3}\nGagne +3/+0 chaque fois que vous attaquez une divinité.
293.name;Vent éclair
293.text;{options|Déplace une créature alliée.| Vous pouvez payer {faeria|3} pour déplacer une créature ennemie à sa place.}\nDéplace une créature alliée. \nVous pouvez payer {faeria|3} de plus pour déplacer une créature ennemie à sa place.
294.name;Volière dorée
294.text;Toutes vos créatures volantes gagnent +1/+0.
295.name;Croisé zélé
295.text;{charge|2}\nTant que cette carte est dans votre deck ou votre main, elle gagne +1/+1 chaque fois que vous attaquez une divinité.
296.name;Soldat Keldran
296.text;
297.name;Seigneur des terres désolées
297.text;{gift} - Vous pouvez sacrifier une autre créature pour gagner {faeria|3}.
298.name;Assassin Shaytan
298.text;{deathtouch}\n{gift} - Vous pouvez sacrifier une autre créature pour donner {protection} à cette créature.
299.name;Dresseur démoniaque
299.text;{gift} - Vous pouvez sacrifier une autre créature et invoquer une <b>aile de démon</b> 5/2 {flying} à sa place.
300.name;Marche-Mort
300.text;{deathtouch}\nVous devez sacrifier une autre créature pour invoquer celle-ci.
301.name;Serment de l'Oubli
301.text;Détruisez une créature alliée. Invoquez un <b>Chevaucheur de l'Oubli</b> 6/3 avec {charge|3} à la place.
302.name;Atrocité Shaytan
302.text;{charge|2}\nDès qu'une créature alliée meurt, cette créature draine son attaque.
303.name;Iona, la Bien-Aimée
303.text;{flying}\nNe peut être attaquée.
304.name;Aile démoniaque
304.text;{flying}
305.name;Chevaucheur de l'Oubli
305.text;{charge|3}
306.name;Drain d'âme
306.text;Draine 2 PV à une créature.
307.name;Sables mouvants
307.text;Détruit une créature à l'attaque inférieure ou égale à 3.
308.name;Doomgate, Portail vers l'oubli
308.text;Quand cette structure a au moins 13 PV, s'autodétruit et invoque <b>Ostregoth</b>.\n{activate} - Détruit une créature alliée, piochez une carte et cette structure gagne 2 PV.
309.name;Archer tempétueux
309.text;{ranged_attack}\nGagne +1/+0 jusqu'à la fin du tour chaque fois que vous jouez un événement.
310.name;Chargeur tempétueux
310.text;{charge|2}\nGagne +2/+0 jusqu'à la fin du tour chaque fois que vous jouez un événement (max. +6/+0).
311.name;Superprédateur
311.text;{jump}\n{gift} - Gagne une attaque et une vie égales à celles de n'importe quelle créature.
312.name;Béhémoth de Rocheglace
312.text;{taunt}, {protection}
313.name;Âme sœur
313.text;{flying}\nPeut être invoquée sur toute case adjacente à celle d'une créature alliée.\n{gift} - Invoque une autre <b>Âme Sœur</b>.
314.name;Beste de Gouffrépines
314.text;{dash|2}\n{gift} - Inflige 4 points de dégâts répartis aléatoirement entre les ennemis. Donne +4/+4 répartis aléatoirements entre les alliés.
315.name;Mangeur d'âmes
315.text;{flying}, {charge|3}\nGagne +1/+1 pour chaque créature alliée morte au cours de cette partie.
316.name;Spectre Fléau-des-Flammes
316.text;{flying}, {haste}, {charge|2}\n{combat} - Inflige 3 points de dégâts à votre adversaire.
329.name;Voleuse coupe-gorge
329.text;
335.name;Frondeur rebelle
335.text;{gift} - Inflige 2 points de dégâts à votre adversaire.
350.name;Trois voeux
350.text;Gagnez 3 PV et copiez les 3 premières cartes du deck adverse. Leur coût est réduit de {faeria|1}. Vous ne pouvez souhaiter avoir plus de souhaits.
351.name;Planeur rebelle
351.text;{flying}, {dash|2}\nNe peut pas récolter de faeria.
352.name;Radiance, Vaisseau Impérial
352.text;{flying}, {dash|3}\nLe coût en faeria de Radiance est égal à vos PV.\n{gift} - Gagne 1 PV pour chaque carte dans votre main.
353.name;Bibliothèque interdite
353.text;{production} - Piochez 1 carte, gagnez {faeria|2} et infligez-vous 2 points de dégâts.
354.name;Dévoreur de rêves
354.text;{dash|3}\n{gift} - Fixez les PV d'une divinité à 10.
355.name;Kodama sauvage
355.text;{jump}\nNe peut pas récolter de faeria.\nChaque fois que cette créature attaque une divinité, gagnez 5 PV.
356.name;Traqueur de Dieux
356.text;{jump}\nNe peut attaquer que les divinités.\nNe peut pas récolter de faeria.
357.name;Incantation sanglante
357.text;Réduisez de {faeria|2} le coût d'une carte aléatoire de votre main, 4 fois. Infligez-vous 4 points de dégâts.
358.name;Feux des Enfers
358.text;Inflige 9 points de dégâts répartis aléatoirement entre les ennemis.
359.name;Jugement dernier
359.text;Vous tombez à {faeria|0}. Réduisez vos PV de moitié (arrondi à l'inférieur). Détruisez TOUTES les créatures et structures. Votre tour prend fin.
360.name;Moucheron têtu
360.text;{flying}\nNe peut pas récolter de faeria.\n{last_words} - Infligez-vous 2 points de dégâts. Invoquez cette créature sur un espace aléatoire.
361.name;Yak aux longues cornes
361.text;{last_words} - La prochaine créature que vous piochez gagne autant d'attaque que cette créature.
362.name;Le temps des légendes
362.text;Piochez la première carte légendaire dans votre deck. Si vous n'en avez plus, mélangez une légendaire de couleur {options|Mélangez une carte légendaire verte aléatoire dans votre deck|Mélangez une carte légendaire bleue aléatoire dans votre deck|Mélangez une carte légendaire rouge aléatoire dans votre deck|Mélangez une carte légendaire jaune aléatoire dans votre deck} dans votre deck.
363.name;Entraineur triton
